Date,InflationRate
1959.25,7.680235942646861
1959.5,6.538969887136527
1959.75,2.734628426048103
1960.0,4.312378130288976
1960.25,7.045429635697041
1960.5,-0.12042751859739326
1960.75,2.2819458375997708
1961.0,0.5983546366330832
1961.25,5.93482697218703
1961.5,3.4022789075344755
1961.75,8.3239998055174
1962.0,6.01856634842812
1962.25,6.262358829021225
1962.5,4.304083464319777
1962.75,6.748459386182517
1963.0,3.9737204236495143
1963.25,4.357688906935973
1963.5,7.331967521017095
1963.75,4.74599325737046
1964.0,9.726923060282571
1964.25,7.8307543626075224
1964.5,8.64216162395857
1964.75,2.4898332725295935
1965.0,10.08654834352468
1965.25,6.372061333957703
1965.5,8.341190734369993
1965.75,12.36847655092511
1966.0,8.861530280401492
1966.25,4.316132007340125
1966.5,7.587512544299351
1966.75,4.761961002527383
1967.0,3.4132673589647053
1967.25,7.2969849553207
1967.5,5.758900380953095
1967.75,5.831573789764559
1968.0,13.732975144347884
1968.25,10.08982889505488
1968.5,11.540985126439073
1968.75,6.170148634652357
1969.0,8.331482879540493
1969.25,7.693842732868431
1969.5,6.760724321041302
1969.75,7.810205820563692
1970.0,7.091138356149955
1970.25,6.220183459059985
1970.5,7.350990604788716
1970.75,4.080114541926453
1971.0,11.349126231218005
1971.25,8.161169137725352
1971.5,7.091978740452196
1971.75,9.024414154258455
1972.0,9.475352347989675
1972.25,9.837437807797047
1972.5,9.601295815268909
1972.75,12.536710972361073
1973.0,12.05874155916464
1973.25,7.44542660559573
1973.5,8.66221916940353
1973.75,6.925380744527809
1974.0,8.155226415465188
1974.25,12.581735795619654
1974.5,12.366605090616781
1974.75,4.108189538461117
1975.0,10.73972860499094
1975.25,11.367585104218541
1975.5,13.044634235504319
1975.75,10.963719069824904
1976.0,12.296275155072514
1976.25,7.002054300049661
1976.5,10.2439719948549
1976.75,11.433238363488464
1977.0,11.832640036552974
1977.25,8.952954053138074
1977.5,9.721662988590099
1977.75,11.610111652550351
1978.0,8.720667936489995
1978.25,16.607578037803847
1978.5,8.6350423663717
1978.75,10.700142042138934
1979.0,9.552214866416183
1979.25,10.538222921577198
1979.5,13.706972937958255
1979.75,10.579129017443654
1980.0,11.247539149611995
1980.25,0.5635457345417445
1980.5,13.632572118880432
1980.75,15.153242854933222
1981.0,11.578170056585389
1981.25,6.710119754918992
1981.5,8.36008447564275
1981.75,3.315975760714946
1982.0,7.963156307106763
1982.25,5.032505880866017
1982.5,8.921149375316496
1982.75,11.345059963248831
1983.0,7.20540475281145
1983.25,11.692307424191501
1983.5,12.344226925271261
1983.75,8.968068080393365
1984.0,7.631684102425325
1984.25,9.43220181064081
1984.5,6.028895146352669
1984.75,7.613572905762359
1985.0,11.4209920901448
1985.25,6.890237689257531
1985.5,10.655523378993434
1985.75,3.643223103782504
1986.0,6.31103578753422
1986.25,3.9330020301105897
1986.5,9.111632205393716
1986.75,4.851848242284347
1987.0,4.137294098539052
1987.25,9.250345979108337
1987.5,8.297707846721316
1987.75,4.288353508051488
1988.0,10.152829308566877
1988.25,7.33357962558448
1988.5,8.440856677637806
1988.75,8.546025731049518
1989.0,6.435074596333792
1989.25,7.223364946481488
1989.5,6.20964000648925
1989.75,4.879519693590708
1990.0,9.113441449016817
1990.25,4.839647939138652
1990.5,6.637024654455114
1990.75,2.1984344868804206
1991.0,0.5890332395569964
1991.25,5.466401335454723
1991.5,4.698669252746143
1991.75,2.678950979092641
1992.0,9.916067522887476
1992.25,5.358542364541508
1992.5,6.804654298475876
1992.75,7.518207777425578
1993.0,3.90914197489664
1993.25,6.304803147732964
1993.5,6.16239815087967
1993.75,5.796625739281723
1994.0,5.97357922661282
1994.25,5.330890131503153
1994.5,5.892496261457504
1994.75,6.180050693533434
1995.0,2.9558818406411844
1995.25,5.806494300232563
1995.5,5.243573573237797
1995.75,4.535376405144306
1996.0,5.882516706690564
1996.25,6.948228536080175
1996.5,4.116282156679397
1996.75,5.894360138697488
1997.0,5.956033980282819
1997.25,2.795238945828753
1997.5,7.818970455000208
1997.75,6.005734195771633
1998.0,4.054527947106635
1998.25,7.706727110598368
1998.5,6.415376259386557
1998.75,6.778859197111505
1999.0,4.867251032116534
1999.25,8.34242002149764
1999.5,6.665812905032201
1999.75,8.230061541461316
2000.0,9.244442875514977
2000.25,5.623456284703945
2000.5,6.390960596147073
2000.75,5.741586067047085
2001.0,4.410023180714074
2001.25,2.672850550889002
2001.5,1.5929161883795981
2001.75,6.565067130565784
2002.0,1.6883051790858206
2002.25,4.97331836747449
2002.5,4.847357197110531
2002.75,4.083397375846502
2003.0,5.005351181508254
2003.25,4.959153653668101
2003.5,8.236740165160896
2003.75,4.708209736881833
2004.0,6.7811400818012295
2004.25,4.855609485730251
2004.5,6.631761604612951
2004.75,7.908457463256472
2005.0,4.84700408567063
2005.25,6.9277443423246075
2005.5,7.604445496227656
2005.75,3.91398703951801
2006.0,6.420342205685549
2006.25,5.565375490743476
2006.5,5.429139127080935
2006.75,3.13506599212407
2007.0,6.092909720359897
2007.25,4.429991048025952
2007.5,4.91660491682711
2007.75,5.62244822273367
2008.0,2.7039056705613884
2008.25,4.982581907657713
2008.5,1.1513636023754799
2008.75,-10.055348593025142
2009.0,-3.7278625354024957
2009.25,-0.3873499958669805
2009.5,5.425281573927285
2009.75,2.631324544848637
2010.0,3.85146310175588
2010.25,4.1871588010437115
2010.5,3.616015731862471
2010.75,4.997387863920873
2011.0,4.875110968591851
2011.25,4.325751491277625
2011.5,3.0614299151462014
2011.75,2.0107442569845486
2012.0,5.516315001955709
2012.25,1.6645216445524116
2012.5,1.972412038513345
2012.75,3.8263336707482045
2013.0,3.992298127415353
2013.25,1.3455269532402634
2013.5,3.2635136870520394
2013.75,4.975760601609712
2014.0,3.2693782960223654
2014.25,5.6070903291251515
2014.5,5.02821069475872
2014.75,4.053043236954535
2015.0,1.2627379151301747
2015.25,4.734326651172155
2015.5,3.843155998990329
2015.75,1.3190422298856102
2016.0,3.2004532053867614
2016.25,4.506902051916167
2016.5,4.147361423273608
2016.75,3.885080951825058
2017.0,5.389926783185276
2017.25,2.784752993155598
2017.5,4.112596054941468
2017.75,6.736155322996088
2018.0,5.677013576774663
2018.25,4.232139174295556
2018.5,3.180686090964312
2018.75,2.7614392236305076
2019.0,1.444280031657941
2019.25,5.627985295491479
2019.5,5.470170719870109
2019.75,4.179269045465015
2020.0,-5.614309920841763
2020.25,-38.20796477099999
2020.5,37.70544867340415
2020.75,7.518344404229923
2021.0,13.507835888843758
2021.25,19.36699627293407
2021.5,8.585796714879713
2021.75,10.906007370209874
2022.0,8.447181203628968
2022.25,9.861650928894553
2022.5,6.142172545556971
2022.75,5.1600710022681735
2023.0,8.69416574984558
2023.25,3.861085746928108
2023.5,5.174644873033371
2023.75,5.062654361581788
2024.0,5.279530664949534
2024.25,5.2757908581030755
2024.5,5.164983476559808
2024.75,6.309530234323131
2025.0,4.0494388886242945
